------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
5.4194 7.5789 6.8342 4.6168 6.1123 2.9674
5.3047 7.6010 6.8149 4.5812 6.0755 2.9774
5.5157 7.6188 6.8125 4.5206 6.1169 2.9875
5.6869 7.6330 6.8098 4.4398 6.1424 2.9975
5.8190 7.6427 6.8066 4.3533 6.1554 3.0075
5.9140 7.6493 6.8025 4.3306 6.1741 3.0175
5.9751 7.6518 6.7974 4.3005 6.1812 3.0276
6.0064 7.6513 6.7913 4.2654 6.1786 3.0376
6.0126 7.6472 6.7840 4.2270 6.1677 3.0476
5.9972 7.6401 6.7753 4.3005 6.1783 3.0576
5.9625 7.6303 6.8030 4.4665 6.2156 3.0677
5.9115 7.6178 6.8356 4.6205 6.2464 3.0777
5.8473 7.6032 6.8684 4.7644 6.2708 3.0877
5.7740 7.5872 6.9009 4.9000 6.2905 3.0977
5.6947 7.5707 6.9330 5.0220 6.3051 3.1078
5.6131 7.5531 6.9644 5.1286 6.3148 3.1178
5.5325 7.5340 6.9941 5.2196 6.3200 3.1278
5.4552 7.5130 7.0214 5.2952 6.3212 3.1378
5.3822 7.4903 7.0451 5.3562 6.3184 3.1479
5.3145 7.4657 7.0638 5.4036 6.3119 3.1579
5.2535 7.4392 7.0758 5.4382 6.3017 3.1679
5.2002 7.4111 7.0794 5.4622 6.2882 3.1779
5.1557 7.3819 7.0735 5.4789 6.2725 3.1880
5.1204 7.3517 7.0571 5.4851 6.2536 3.1980
5.0946 7.3212 7.0292 5.4808 6.2315 3.2080
5.0787 7.2901 6.9891 5.4708 6.2072 3.2180
5.0790 7.2583 6.9360 5.4537 6.1818 3.2281
