------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoVelocidad
24.1131 14.8725 14.5018 13.0281 16.6289 2.4160
23.8954 14.8821 14.7985 13.0181 16.6485 2.4261
23.6540 14.9176 15.1341 12.9707 16.6691 2.4361
23.3905 15.0468 15.4940 12.8803 16.7029 2.4461
23.1126 15.1653 15.8704 12.7418 16.7225 2.4561
22.8263 15.2701 16.2532 12.8568 16.8016 2.4662
22.5423 15.3610 16.6243 13.1984 16.9315 2.4762
22.2684 15.4686 16.9699 13.4123 17.0298 2.4862
22.0145 15.5976 17.2783 13.5351 17.1064 2.4962
21.7867 15.7099 17.5375 13.5520 17.1465 2.5063
21.5907 15.7958 17.7356 13.4340 17.1390 2.5163
21.4293 15.8516 17.8687 13.2512 17.1002 2.5263
21.3022 15.8747 17.9342 13.2703 17.0953 2.5363
21.2066 15.8659 17.9356 13.1778 17.0465 2.5464
21.1346 15.8372 18.0342 13.0052 17.0028 2.5564
21.0776 15.8021 18.3289 12.7148 16.9809 2.5664
21.0240 15.7749 18.5714 12.3452 16.9289 2.5764
20.9590 15.7640 18.7671 11.9255 16.8539 2.5865
20.8651 15.7725 18.9201 11.4499 16.7519 2.5965
20.7253 15.7959 19.0302 11.3722 16.7309 2.6065
20.5274 15.7805 19.1728 11.2982 16.6947 2.6165
20.2705 15.7739 19.3186 11.1834 16.6366 2.6266
20.1089 15.7670 19.4164 11.0492 16.5854 2.6366
20.0820 15.7339 19.4674 10.9095 16.5482 2.6466
19.9852 15.6739 19.4736 10.7963 16.4822 2.6566
19.8022 15.5846 19.4333 10.7316 16.3879 2.6667
19.5218 15.4735 19.3427 10.7195 16.2644 2.6767
19.1260 15.3789 19.1990 10.7605 16.1161 2.6867
18.6065 15.2943 19.0021 10.8471 15.9375 2.6967
17.9648 15.1763 18.7537 10.9621 15.7142 2.7068
17.2001 15.0266 18.4570 11.0841 15.4420 2.7168
16.8909 14.8499 18.1140 11.1880 15.2607 2.7268
17.0959 14.6427 18.1345 11.2522 15.2813 2.7368
17.2409 14.6554 18.1369 11.2695 15.3257 2.7469
17.3515 14.7622 18.1050 11.2986 15.3793 2.7569
17.4576 14.8617 18.0768 11.3070 15.4257 2.7669
17.5342 14.9585 18.0194 11.2546 15.4417 2.7769
17.5808 15.0564 17.9285 11.1639 15.4324 2.7870
17.5803 15.1527 17.8061 11.0234 15.3906 2.7970
17.4896 15.2425 17.6552 10.8265 15.3035 2.8070
17.3103 15.3242 17.4775 10.5763 15.1721 2.8170
17.0430 15.3984 17.2740 10.2657 14.9953 2.8271
16.8738 15.4707 17.0460 10.2305 14.9053 2.8371
16.6721 15.5419 16.7969 10.1307 14.7854 2.8471
16.4135 15.6061 16.5273 10.2296 14.6941 2.8571
16.0891 15.6621 16.2410 10.4744 14.6166 2.8672
15.7204 15.7096 16.0598 10.6286 14.5296 2.8772
15.3248 15.7730 15.8937 10.6840 14.4189 2.8872
14.9270 15.8405 15.7197 10.6416 14.2822 2.8972
14.5063 15.8983 15.5394 10.5107 14.1137 2.9073
14.0503 15.9473 15.3560 10.3076 13.9153 2.9173
13.5859 15.9863 15.1708 10.1776 13.7301 2.9273
13.0952 16.0156 14.9883 10.1011 13.5501 2.9373
12.5772 16.0356 14.8113 9.9599 13.3460 2.9474
12.0347 16.0461 14.6392 9.8241 13.1360 2.9574
11.4750 16.0475 14.4706 9.7755 12.9421 2.9674
11.1943 16.0402 14.3812 9.6676 12.8208 2.9774
11.6005 16.0237 14.3279 9.5077 12.8650 2.9875
11.9206 15.9998 14.2743 9.3065 12.8753 2.9975
12.1569 15.9669 14.2200 9.0947 12.8596 3.0075
12.3142 15.9276 14.1644 9.0172 12.8559 3.0175
12.4003 15.8800 14.1069 8.9250 12.8280 3.0276
12.4241 15.8266 14.0476 8.8229 12.7803 3.0376
12.3959 15.7661 13.9863 8.7147 12.7158 3.0476
12.3236 15.6998 13.9226 8.8370 12.6958 3.0576
12.2124 15.6284 13.9338 9.1482 12.7307 3.0677
12.0684 15.5520 13.9551 9.4329 12.7521 3.0777
11.8987 15.4717 13.9764 9.6951 12.7605 3.0877
11.7114 15.3892 13.9971 9.9387 12.7591 3.0977
11.5133 15.3062 14.0170 10.1532 12.7474 3.1078
11.3119 15.2214 14.0351 10.3356 12.7260 3.1178
11.1137 15.1343 14.0498 10.4852 12.6958 3.1278
10.9235 15.0439 14.0596 10.6030 12.6575 3.1378
10.7430 14.9507 14.0621 10.6910 12.6117 3.1479
10.5742 14.8542 14.0546 10.7515 12.5586 3.1579
10.4197 14.7547 14.0339 10.7860 12.4986 3.1679
10.2814 14.6527 13.9968 10.7994 12.4326 3.1779
10.1614 14.5489 13.9411 10.7984 12.3625 3.1880
10.0601 14.4441 13.8652 10.7768 12.2866 3.1980
9.9783 14.3392 13.7673 10.7347 12.2049 3.2080
9.9160 14.2339 13.6461 10.6816 12.1194 3.2180
9.8859 14.1277 13.5004 10.6152 12.0323 3.2281
9.8808 14.0205 13.3306 10.5328 11.9412 3.2381
9.8896 13.9122 13.1353 10.4393 11.8441 3.2481
9.9126 13.8027 12.9141 10.3360 11.7413 3.2581
9.9503 13.6921 12.8136 10.2255 11.6704 3.2682
10.0025 13.5805 12.8927 10.2227 11.6746 3.2782
10.0693 13.4682 12.9573 10.2271 11.6805 3.2882
10.1503 13.3559 13.0063 10.2275 11.6850 3.2982
10.2455 13.2443 13.0390 10.2302 11.6897 3.3083
10.3548 13.1336 13.0548 10.2424 11.6964 3.3183
10.4782 13.0228 13.0529 10.2723 11.7066 3.3283
10.6152 12.9117 13.0332 10.3282 11.7221 3.3383
10.7664 12.7998 12.9955 10.4170 11.7447 3.3484
10.9311 12.6877 12.9395 10.5453 11.7759 3.3584
11.1091 12.5881 12.8654 10.7174 11.8200 3.3684
11.3006 12.4905 12.7734 10.9355 11.8750 3.3784
11.5046 12.3923 12.6642 11.2001 11.9403 3.3885
11.7202 12.2932 12.5400 11.5091 12.0156 3.3985
11.9463 12.1963 12.4324 11.8591 12.1085 3.4085
12.1817 12.1251 12.3171 12.2452 12.2173 3.4185
12.4249 12.0517 12.1875 12.6638 12.3320 3.4286
12.6734 11.9766 12.0419 13.1144 12.4516 3.4386
12.9252 11.8996 11.8806 13.5885 12.5735 3.4486
13.1785 11.8208 11.7029 14.0733 12.6939 3.4586
13.4305 11.7405 11.5092 14.5576 12.8094 3.4687
13.6794 11.6582 11.2999 15.0300 12.9169 3.4787
13.9231 11.5749 11.0758 15.4823 13.0140 3.4887
14.1583 11.4933 10.8375 15.9075 13.0992 3.4987
14.3815 11.5387 10.5861 16.2979 13.2011 3.5088
14.5899 11.5740 10.4247 16.6501 13.3097 3.5188
14.7836 11.6113 10.3657 16.9714 13.4330 3.5288
14.9750 11.6768 10.3076 17.2614 13.5552 3.5388
15.1863 11.7804 10.2486 17.5003 13.6789 3.5489
15.3909 11.8710 10.1952 17.6733 13.7826 3.5589
15.6171 11.9473 10.1395 17.7867 13.8727 3.5689
15.9177 12.0091 10.0754 17.8622 13.9661 3.5789
16.2018 12.0569 10.0028 17.8825 14.0360 3.5890
16.4655 12.1964 9.9305 17.8334 14.1065 3.5990
16.7093 12.3254 9.9007 17.7237 14.1648 3.6090
16.9351 12.4444 9.8615 17.5652 14.2015 3.6190
17.1387 12.5482 9.8125 17.3617 14.2153 3.6291
17.3147 12.6292 9.7539 17.1169 14.2037 3.6391
17.4618 12.6879 9.6869 16.8260 14.1656 3.6491
17.5764 12.7413 9.6105 16.4914 14.1049 3.6591
17.6546 12.8224 9.5258 16.1245 14.0318 3.6692
17.6932 12.8848 9.4328 15.7358 13.9366 3.6792
17.6905 12.9308 9.3320 15.3306 13.8210 3.6892
17.6466 12.9665 9.2236 14.9156 13.6881 3.6992
17.5615 12.9877 9.1087 14.4999 13.5394 3.7093
17.4340 12.9922 8.9863 14.0935 13.3765 3.7193
17.2634 12.9790 8.8590 13.8583 13.2399 3.7293
17.0503 12.9489 8.7252 13.9191 13.1609 3.7393
16.7969 12.9060 8.5862 13.9689 13.0645 3.7494
16.5055 12.8532 8.4430 14.0078 12.9524 3.7594
16.1828 12.7893 8.3466 14.0363 12.8387 3.7694
15.8343 12.7222 8.2738 14.0547 12.7212 3.7794
15.6180 12.8523 8.2067 14.0635 12.6851 3.7895
15.3781 13.0489 8.1450 14.0943 12.6666 3.7995
15.0993 13.2156 8.0800 14.1721 12.6417 3.8095
14.7898 13.3540 8.0116 14.2398 12.5988 3.8195
14.4549 13.4678 7.9399 14.2973 12.5400 3.8296
14.0928 13.5628 7.8649 14.3452 12.4664 3.8396
13.7014 13.6400 7.7866 14.3838 12.3780 3.8496
13.2813 13.6935 7.7058 14.4135 12.2735 3.8596
12.8361 13.7305 7.6401 14.4348 12.1603 3.8697
12.3713 13.7532 7.5813 14.4488 12.0386 3.8797
12.2400 13.7522 7.5193 14.7056 12.0543 3.8897
12.1962 13.7249 7.4547 15.0888 12.1162 3.8997
12.1377 13.6730 7.3871 15.4629 12.1652 3.9098
12.0612 13.6411 7.3171 15.8238 12.2108 3.9198
11.9663 13.6065 7.2448 16.1766 12.2485 3.9298
11.8531 13.5701 7.1702 16.5268 12.2800 3.9398
11.7241 13.5326 7.0938 16.8544 12.3012 3.9499
11.5808 13.4874 7.0156 17.1476 12.3079 3.9599
11.4217 13.4253 6.9360 17.4056 12.2971 3.9699
11.2505 13.3419 6.8549 17.6270 12.2686 3.9799
11.1044 13.2411 6.7728 17.8007 12.2298 3.9900
10.9727 13.1280 6.6897 17.9379 12.1821 4.0000
