------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoAceleración
0.0224 0.0229 0.0234 0.0223 0.0228 3.4085
0.0228 0.0227 0.0231 0.0229 0.0229 3.4185
0.0232 0.0225 0.0228 0.0237 0.0230 3.4286
0.0236 0.0223 0.0224 0.0244 0.0232 3.4386
0.0240 0.0221 0.0221 0.0252 0.0234 3.4486
0.0244 0.0219 0.0217 0.0261 0.0235 3.4586
0.0248 0.0217 0.0213 0.0269 0.0237 3.4687
0.0252 0.0215 0.0208 0.0277 0.0238 3.4787
0.0256 0.0213 0.0203 0.0284 0.0239 3.4887
0.0259 0.0210 0.0198 0.0291 0.0240 3.4987
0.0263 0.0211 0.0193 0.0298 0.0241 3.5088
0.0266 0.0211 0.0190 0.0303 0.0242 3.5188
0.0268 0.0211 0.0188 0.0308 0.0244 3.5288
0.0271 0.0211 0.0187 0.0312 0.0245 3.5388
0.0274 0.0213 0.0185 0.0316 0.0247 3.5489
0.0277 0.0214 0.0183 0.0318 0.0248 3.5589
0.0280 0.0214 0.0182 0.0319 0.0249 3.5689
0.0285 0.0215 0.0180 0.0320 0.0250 3.5789
0.0289 0.0215 0.0179 0.0319 0.0250 3.5890
0.0293 0.0217 0.0177 0.0317 0.0251 3.5990
0.0297 0.0219 0.0176 0.0315 0.0251 3.6090
0.0300 0.0220 0.0175 0.0311 0.0251 3.6190
0.0302 0.0221 0.0173 0.0306 0.0251 3.6291
0.0305 0.0222 0.0172 0.0301 0.0250 3.6391
0.0306 0.0223 0.0170 0.0295 0.0249 3.6491
0.0308 0.0223 0.0168 0.0289 0.0247 3.6591
0.0308 0.0224 0.0166 0.0281 0.0245 3.6692
0.0308 0.0224 0.0164 0.0274 0.0243 3.6792
0.0307 0.0224 0.0162 0.0266 0.0240 3.6892
0.0306 0.0225 0.0160 0.0258 0.0237 3.6992
0.0303 0.0224 0.0157 0.0250 0.0234 3.7093
0.0300 0.0224 0.0155 0.0243 0.0230 3.7193
0.0296 0.0223 0.0152 0.0238 0.0227 3.7293
0.0292 0.0222 0.0149 0.0238 0.0225 3.7393
0.0287 0.0220 0.0147 0.0239 0.0223 3.7494
0.0281 0.0219 0.0144 0.0239 0.0221 3.7594
0.0275 0.0217 0.0142 0.0238 0.0218 3.7694
0.0268 0.0216 0.0140 0.0238 0.0216 3.7794
0.0264 0.0217 0.0139 0.0238 0.0214 3.7895
0.0259 0.0220 0.0137 0.0238 0.0214 3.7995
0.0254 0.0222 0.0136 0.0238 0.0213 3.8095
0.0248 0.0224 0.0134 0.0239 0.0211 3.8195
0.0242 0.0225 0.0133 0.0239 0.0210 3.8296
0.0235 0.0226 0.0131 0.0239 0.0208 3.8396
0.0228 0.0227 0.0130 0.0239 0.0206 3.8496
0.0220 0.0227 0.0128 0.0239 0.0204 3.8596
0.0212 0.0227 0.0126 0.0239 0.0201 3.8697
0.0204 0.0227 0.0125 0.0239 0.0199 3.8797
0.0202 0.0226 0.0124 0.0242 0.0198 3.8897
0.0200 0.0225 0.0122 0.0248 0.0199 3.8997
0.0199 0.0224 0.0121 0.0253 0.0199 3.9098
0.0197 0.0223 0.0120 0.0259 0.0200 3.9198
0.0195 0.0222 0.0118 0.0264 0.0200 3.9298
0.0193 0.0221 0.0117 0.0269 0.0200 3.9398
0.0190 0.0219 0.0115 0.0273 0.0199 3.9499
0.0187 0.0218 0.0113 0.0277 0.0199 3.9599
0.0184 0.0217 0.0112 0.0281 0.0198 3.9699
0.0181 0.0215 0.0110 0.0284 0.0197 3.9799
0.0178 0.0213 0.0109 0.0286 0.0196 3.9900
0.0176 0.0210 0.0107 0.0287 0.0195 4.0000
